Gene	sgRNA(sample1_21day/sample1_7day)	sample1_7day	sample1_21day	log2(sample1_21day/sample1_7day)	abs_log2(sample1_21day/sample1_7day)
ZFP106	HGLibB_55116	0.0	6.020646937370957	2.8116039778707482	2.8116039778707482
MADD	HGLibB_27816	5.979494190020506	0.0	-2.8031224868660916	2.8031224868660916
GPR3	HGLibB_19986	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
CCT6B	HGLibB_08202	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
SUPT7L	HGLibB_47770	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
NXF3	HGLibB_33091	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
SYNJ1	HGLibB_47943	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
SPHK2	HGLibB_46588	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
FBXO9	HGLibB_17110	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
PLD2	HGLibB_36990	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
CD164	HGLibB_08241	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
GLTPD2	HGLibB_19325	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
DAPK3	HGLibB_12316	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
OR5W2	HGLibB_34322	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
ULK1	HGLibB_52903	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
CNNM2	HGLibB_10306	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
TRAPPC2L	HGLibB_51252	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
TUSC1	HGLibB_52277	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
LIPH	HGLibB_26579	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
SHD	HGLibB_43965	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
CCDC60	HGLibB_07808	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
GPR62	HGLibB_20036	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
DHX57	HGLibB_13183	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
KLK5	HGLibB_25227	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
CD63	HGLibB_08420	0.0	4.013764624913971	2.3258942693190336	2.3258942693190336
MYO1E	HGLibB_30790	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
BAZ1A	HGLibB_04183	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
C9orf66	HGLibB_06748	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
PHYH	HGLibB_36422	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
GNB3	HGLibB_19469	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
XAF1	HGLibB_54397	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
TSNAXIP1	HGLibB_51825	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
KIF3A	HGLibB_24900	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
FSCN1	HGLibB_18045	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
UNC79	HGLibB_52965	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
CYP2A13	HGLibB_12089	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
POLE2	HGLibB_37464	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
ZNF562	HGLibB_56180	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
L3HYPDH	HGLibB_25857	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
COX7A1	HGLibB_10846	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
GOLPH3L	HGLibB_19632	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
UPK2	HGLibB_53008	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
ARHGAP17	HGLibB_02713	3.9863294600136707	0.0	-2.3179782086667666	2.3179782086667666
CCDC28B	HGLibB_07742	0.0	3.0103234686854785	2.0037186077144806	2.0037186077144806
ZNF280D	HGLibB_55665	0.0	3.0103234686854785	2.0037186077144806	2.0037186077144806
