sgRNA	Gene	sample1_7day	sample1_21day
HGLibB_41584	RNF219	2	0
HGLibB_47428	STK32B	2	0
HGLibB_39464	PTPRK	2	0
HGLibB_22917	IL10RA	2	0
HGLibB_24929	KIF9	2	0
HGLibB_18694	GBE1	2	0
HGLibB_56180	ZNF562	4	0
HGLibB_17298	FEZF2	2	0
HGLibB_25857	L3HYPDH	4	0
HGLibB_31915	NIPAL2	2	0
HGLibB_23771	ITIH1	2	0
HGLibB_41257	RIOK2	2	0
HGLibB_31506	NDUFS2	2	0
HGLibB_04720	BPIFB2	2	0
HGLibB_13166	DHX34	2	0
HGLibB_28197	MAP7D2	2	0
HGLibB_20982	HDAC3	2	0
HGLibB_19662	GOT1	2	0
HGLibB_46300	SPAG4	2	0
HGLibB_20530	GTF2H4	2	0
HGLibB_06956	CAD	2	0
HGLibB_00635	ACTL9	2	0
HGLibB_09430	CHI3L1	2	0
HGLibB_15994	FAM110B	2	0
HGLibB_11045	CRABP2	2	0
HGLibB_46113	SOLH	2	0
HGLibB_09546	CHRM4	2	0
HGLibB_53001	UPF3B	4	2
HGLibB_30678	MYH2	2	0
HGLibB_07487	CCBE1	2	0
HGLibB_07192	CAPS2	2	0
HGLibB_56929	ZSCAN2	2	0
HGLibB_30214	MST1L	2	0
HGLibB_15246	EPC2	2	0
HGLibB_47239	ST8SIA4	2	0
HGLibB_51622	TRMT2B	2	0
HGLibB_13967	DSC1	2	0
HGLibB_21556	HK3	2	0
HGLibB_05710	C19orf81	2	0
HGLibB_33933	OR4D5	2	0
HGLibB_11576	CTBP2	2	0
HGLibB_52108	TTI1	2	0
HGLibB_05139	C11orf45	2	0
HGLibB_22508	IDH1	2	0
HGLibB_12444	DCAF8	2	0
HGLibB_02127	ANKRD6	2	0
HGLibB_26073	LCE1D	2	0
HGLibB_46403	SPATA25	1	0
HGLibB_55556	ZNF226	2	0
HGLibB_17332	FGD5	2	0
HGLibB_06212	C3orf18	2	0
HGLibB_35451	PCDHB4	2	0
HGLibB_19955	GPR180	2	0
HGLibB_38255	PRAMEF2	2	2
HGLibB_33702	OR2AE1	2	0
HGLibB_44212	SKA2	2	0
HGLibB_53266	USP31	2	0
HGLibB_43232	SELE	2	0
HGLibB_53979	WDR20	2	0
HGLibB_07177	CAPNS1	2	0
HGLibB_29873	MRPL18	2	0
HGLibB_55280	ZKSCAN2	2	0
HGLibB_11091	CREB3L4	2	0
HGLibB_57037	NonTargetingControlGuideForHuman_0009	1	0
HGLibB_46947	SRP19	2	0
HGLibB_02605	AQP8	2	4
HGLibB_18174	FUT6	2	0
HGLibB_40157	RANBP6	2	0
HGLibB_26625	LMAN2	2	0
HGLibB_46119	SORBS1	2	0
HGLibB_24738	KIAA1522	1	0
HGLibB_49018	TEX22	1	0
HGLibB_55044	ZDHHC24	2	0
HGLibB_35669	PDCD1	2	0
HGLibB_39896	RAB42	2	0
HGLibB_34949	PAFAH1B3	2	0
HGLibB_05403	C15orf52	2	0
HGLibB_45471	SLITRK5	2	0
HGLibB_56987	ZSWIM7	1	0
HGLibB_07515	CCDC105	2	0
HGLibB_40970	RGP1	2	0
HGLibB_21478	HIST1H4H	2	0
HGLibB_49318	THOC7	2	0
HGLibB_19197	GLB1L2	2	0
HGLibB_30742	MYLK	2	0
HGLibB_47810	SUV420H2	2	0
HGLibB_34112	OR52E2	2	0
HGLibB_57033	NonTargetingControlGuideForHuman_0005	4	4
HGLibB_31461	NDUFB1	2	0
HGLibB_23332	INPPL1	2	0
HGLibB_13827	DPH5	2	0
HGLibB_29326	MLC1	2	0
HGLibB_42221	RRP1B	2	0
HGLibB_16736	FAM83G	2	0
HGLibB_38452	PRKAB2	2	0
HGLibB_27094	LRBA	2	0
HGLibB_38992	PSG2	2	0
HGLibB_42267	RSL24D1	2	0
HGLibB_33579	OR13H1	2	0
HGLibB_19303	GLS2	2	0
HGLibB_35085	PAPL	2	0
HGLibB_37751	PP2D1	1	0
HGLibB_14347	EBNA1BP2	2	0
HGLibB_57180	NonTargetingControlGuideForHuman_0152	2	0
HGLibB_07870	CCDC80	2	0
HGLibB_32659	NRL	2	0
HGLibB_33717	OR2AT4	2	0
HGLibB_54008	WDR35	2	0
HGLibB_29877	MRPL19	2	0
HGLibB_00631	ACTL8	2	0
HGLibB_22869	IGSF6	2	0
HGLibB_08535	CDC34	2	0
HGLibB_31810	NFYA	2	0
HGLibB_32742	NSUN4	2	0
HGLibB_50317	TMEM38A	2	0
HGLibB_55592	ZNF248	2	0
HGLibB_32325	NOX1	2	0
HGLibB_44469	SLC1A6	2	0
HGLibB_07981	CCL2	2	0
HGLibB_41722	RORA	2	0
HGLibB_57213	NonTargetingControlGuideForHuman_0185	2	0
HGLibB_39339	PTK7	2	0
HGLibB_09357	CHCHD2	1	0
HGLibB_19574	GOLGA4	2	0
HGLibB_50674	TNFRSF10B	2	0
HGLibB_25910	LAMA3	2	0
HGLibB_05941	C1QTNF4	2	0
HGLibB_52570	UBE2N	2	0
HGLibB_57280	NonTargetingControlGuideForHuman_0252	2	0
HGLibB_06310	C4orf29	2	0
HGLibB_16854	FARP2	2	0
HGLibB_11275	CRYL1	2	0
HGLibB_35668	PDCD1	2	0
HGLibB_22454	IBTK	2	0
HGLibB_29183	MICU2	2	0
HGLibB_47735	SUN2	2	0
HGLibB_45602	SMC5	2	0
HGLibB_23054	IL21R	1	0
HGLibB_37184	PLSCR2	2	0
HGLibB_25757	KRTAP5-3	2	2
HGLibB_44277	SLC10A1	2	0
HGLibB_53935	WBSCR28	2	0
HGLibB_06748	C9orf66	4	0
HGLibB_24009	KANSL2	2	0
HGLibB_21434	HIST1H3C	2	0
HGLibB_10161	CLVS2	2	0
HGLibB_26534	LIN54	2	0
HGLibB_36274	PHC2	2	0
HGLibB_52739	UCHL3	2	0
HGLibB_06067	C22orf31	2	0
HGLibB_53919	WBP5	2	0
HGLibB_25529	KRT83	2	0
HGLibB_00014	A3GALT2	2	0
HGLibB_14851	ELAC2	2	0
HGLibB_44069	SIGLEC1	2	0
HGLibB_39674	QKI	2	0
HGLibB_54149	WDR90	2	0
HGLibB_49450	TIMM22	2	0
HGLibB_10846	COX7A1	4	0
HGLibB_30133	MSANTD3	2	0
HGLibB_03105	ARRB1	2	0
HGLibB_16994	FBXL7	2	0
HGLibB_11990	CYB5R1	2	0
HGLibB_00909	ADCY2	2	0
HGLibB_31350	NDFIP1	2	0
HGLibB_16142	FAM151B	2	0
HGLibB_02381	APBB2	2	0
HGLibB_40230	RARRES1	2	0
HGLibB_23419	IP6K3	2	0
HGLibB_53278	USP35	2	0
HGLibB_53008	UPK2	4	0
HGLibB_36318	PHF20L1	2	0
HGLibB_17908	FOXP1	2	0
HGLibB_33204	OCIAD2	2	0
HGLibB_36007	PER1	2	0
HGLibB_43616	SETDB2	2	0
HGLibB_02686	ARG2	2	0
HGLibB_20602	GTSF1L	2	0
HGLibB_46674	SPN	2	0
HGLibB_06821	CA9	2	0
HGLibB_00277	ABHD4	2	0
HGLibB_39974	RABIF	1	0
HGLibB_37136	PLK1	1	0
HGLibB_40971	RGP1	2	0
HGLibB_46634	SPINK2	1	0
HGLibB_18319	GABBR2	2	0
HGLibB_46175	SOX11	2	0
HGLibB_32634	NRG2	2	0
HGLibB_19312	GLT8D1	2	0
HGLibB_49288	THEM6	2	0
HGLibB_50638	TNC	2	0
HGLibB_42000	RPRM	2	0
HGLibB_33629	OR1J1	2	0
HGLibB_41652	RNFT1	2	0
HGLibB_12852	DEFB119	2	0
HGLibB_36707	PITPNM2	2	0
HGLibB_19632	GOLPH3L	4	0
HGLibB_02713	ARHGAP17	4	0
HGLibB_20710	H1FOO	2	0
HGLibB_49489	TINAGL1	2	0
HGLibB_10814	COX19	2	0
HGLibB_29301	MKNK1	2	0
HGLibB_30914	N4BP2L1	2	0
HGLibB_00710	ACYP2	2	0
HGLibB_03455	ATF7IP2	2	0
HGLibB_48573	TBR1	2	0
HGLibB_13755	DOK4	2	0
HGLibB_17616	FLNA	2	0
HGLibB_00835	ADAMTS6	2	0
HGLibB_01238	AGPS	2	0
HGLibB_16037	FAM120B	2	0
